Name,Location,Cuisine,Rating,Seating Capacity,Average Meal Price,Marketing Budget,Social Media Followers,Chef Experience Years,Number of Reviews,Avg Review Length,Ambience Score,Service Quality Score,Parking Availability,Weekend Reservations,Weekday Reservations,Revenue
Restaurant 0,Rural,Japanese,4.0,38,73.98,2224,23406,13,185,161.92490574327928,1.3,7.0,Yes,13,4,638945.52
Restaurant 1,Downtown,Mexican,3.2,76,28.11,4416,42741,8,533,148.7597173739537,2.6,3.4,Yes,48,6,490207.83
Restaurant 2,Rural,Italian,4.7,48,48.29,2796,37285,18,853,56.84918945954191,5.3,6.7,No,27,14,541368.62
Restaurant 3,Rural,Italian,4.4,34,51.55,1167,15214,13,82,205.43326529316235,4.6,2.8,Yes,9,17,404556.8
Restaurant 4,Downtown,Japanese,4.9,88,75.98,3639,40171,9,78,241.68158411313138,8.6,2.1,No,37,26,1491046.35
Restaurant 5,Downtown,Indian,4.4,79,35.69,6787,75378,5,400,247.54446077604814,2.0,8.5,Yes,27,22,644220.9
Restaurant 6,Rural,Mexican,4.9,49,35.3,2594,32587,11,106,206.15903496120401,1.5,5.3,No,12,28,400348.65
Restaurant 7,Suburban,Japanese,4.1,61,73.65,3213,33429,14,377,135.319312410584,1.8,4.6,No,56,23,1014153.65
Restaurant 8,Rural,Japanese,4.2,37,73.75,3437,37102,18,494,55.65241712047435,7.1,9.4,Yes,27,24,635606.1
Restaurant 9,Rural,French,5.0,32,59.8,2569,28419,18,907,273.9448868142822,6.4,7.4,No,12,19,452920.65
Restaurant 10,Rural,French,4.3,48,59.25,2840,36487,16,520,157.2615545943513,6.7,7.1,No,16,45,656474.6
Restaurant 11,Rural,Indian,3.1,40,32.11,2792,34058,4,419,200.29386216601912,2.4,2.7,No,4,20,295333.14
Restaurant 12,Downtown,Mexican,4.4,77,35.6,8511,88420,19,741,98.63901879525551,5.6,2.9,Yes,46,39,645268.3
Restaurant 13,Rural,American,4.8,42,45.55,1968,22976,5,420,85.48892948147306,7.9,5.3,Yes,4,39,437468.35
Restaurant 14,Suburban,French,4.6,59,63.22,3282,39922,2,988,71.70442820197951,7.2,6.9,No,18,1,836011.9
Restaurant 15,Downtown,American,4.2,87,38.26,2460,27600,17,687,249.6913013045971,4.9,4.6,Yes,38,47,760413.88
Restaurant 16,Suburban,Italian,4.3,61,47.7,1315,20612,4,685,211.61517831811886,1.9,1.6,Yes,30,48,651068.0
Restaurant 17,Suburban,French,5.0,56,65.87,3994,42576,6,971,205.289814737296,8.8,7.1,Yes,24,41,836123.03
Restaurant 18,Suburban,French,3.2,60,55.73,2270,23723,18,421,279.8494369218284,5.7,8.0,Yes,50,45,767869.7
Restaurant 19,Suburban,Mexican,4.3,59,34.28,1940,20192,6,539,89.67805980487975,9.0,9.5,Yes,0,43,464653.52
Restaurant 20,Downtown,Indian,3.6,72,33.91,2462,26536,15,302,92.56733795290151,4.9,4.7,No,37,10,561710.45
Restaurant 21,Downtown,American,4.3,76,39.61,3444,40515,1,535,97.36728738358505,3.1,3.3,No,65,65,676879.89
Restaurant 22,Suburban,French,4.2,53,64.15,1957,22672,17,920,155.8423575663224,3.8,9.3,Yes,40,46,779565.05
Restaurant 23,Suburban,French,3.3,57,56.0,2348,26717,2,307,268.55543375298384,4.8,7.4,No,41,14,715699.85
Restaurant 24,Downtown,Mexican,3.4,77,28.9,6712,72937,4,488,270.36853151506034,6.5,1.6,Yes,16,25,511266.45
Restaurant 25,Downtown,Mexican,4.2,75,35.47,2035,24134,3,651,197.6469341342268,7.9,6.2,Yes,35,2,599518.34
Restaurant 26,Downtown,Indian,3.3,82,37.69,1418,18874,3,67,214.53572446586375,3.2,1.3,Yes,51,17,687854.64
Restaurant 27,Rural,American,3.5,41,43.3,3124,37912,14,268,274.4405859037032,2.7,3.0,No,13,19,414143.9
Restaurant 28,Rural,Italian,4.7,32,53.33,2362,29777,8,561,206.05473886592432,2.8,1.6,Yes,16,23,392170.36
Restaurant 29,Rural,Indian,3.7,35,30.67,2749,29486,8,227,107.44991945883044,9.4,2.8,No,27,15,256525.49
Restaurant 30,Suburban,Italian,4.0,68,47.24,3194,36724,9,258,226.2285170828849,2.5,5.4,No,5,9,724252.64
Restaurant 31,Rural,Japanese,4.9,40,70.4,2029,27413,18,862,242.47269352847465,4.1,3.7,No,8,21,646783.75
